domain,tld,category,severity,ip,ip_country,registered,notes
0btu8g.icu,icu,,HIGH,,,,Confirmed by phishtank
0c1f8e7f0b0892e292b58a74881bf788.sbs,sbs,,HIGH,,,,Confirmed by hagezi
0c40ac4c2231798971772271fa963cee.cfd,cfd,,HIGH,,,,Confirmed by hagezi
0d5b33e2ac8ec0e01cb3e59b7c0a9550.icu,icu,,HIGH,,,,Confirmed by hagezi
0ej37yhe.cfd,cfd,,HIGH,,,,Confirmed by phishtank
0f3205a4e29cfd773405c47e9ca7115f.cfd,cfd,,HIGH,,,,Confirmed by hagezi
0fj3.icu,icu,,HIGH,,,,Confirmed by mitchellkrogza
0g0i4uyscw.bond,bond,,HIGH,,,,Confirmed by mitchellkrogza
0nlinesecuremessage.ppuaccountseverllp.sbs,sbs,,HIGH,,,,Confirmed by mitchellkrogza
0nzzd.sbs,sbs,,HIGH,,,,Confirmed by mitchellkrogza
0od2l29.icu,icu,,HIGH,,,,Confirmed by mitchellkrogza
0pw9ya184xpg.automating-platform-solution-provisioning.cfd,cfd,,HIGH,,,,Confirmed by mitchellkrogza
0u4w3o.cfd,cfd,,HIGH,,,,Confirmed by mitchellkrogza
1.ccriff5fggzexg95.cyou,cyou,,HIGH,,,,Confirmed by hagezi
1.ovf3ykfh2gnx3myfmvc.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10005.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10016.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10045.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10049.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10077.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10083.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10084.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10085.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10087.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10166.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10259.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10262.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10284.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10300.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10302.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10318.cfd,cfd,,HIGH,,,,Confirmed by hagezi
1039047v3651935128.cfd,cfd,,HIGH,,,,Confirmed by mitchellkrogza
10394.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10428.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10432.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10443.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10449.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10485.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10509.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10521.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10558.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10568.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10580.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10604.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10657.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10674.cfd,cfd,,HIGH,,,,Confirmed by hagezi
